id,name,zip_id:id
278,PALENQUE,l10n_co_base_location.CO050041_zip
279,VILLA FLORA,l10n_co_base_location.CO050041_zip
280,BELALCÁZAR,l10n_co_base_location.CO050042_zip
281,CASTILLA,l10n_co_base_location.CO050042_zip
282,GIRARDOT,l10n_co_base_location.CO050042_zip
283,LA ESPERANZA,l10n_co_base_location.CO050042_zip
284,PEDREGAL,l10n_co_base_location.CO050042_zip
285,TRICENTENARIO,l10n_co_base_location.CO050042_zip
286,DOCE DE OCTUBRE NO.1,l10n_co_base_location.CO050043_zip
287,DOCE DE OCTUBRE NO.2,l10n_co_base_location.CO050043_zip
288,EL TRIUNFO,l10n_co_base_location.CO050043_zip
289,MIRADOR DEL DOCE,l10n_co_base_location.CO050043_zip
290,PICACHITO,l10n_co_base_location.CO050043_zip
291,PICACHO,l10n_co_base_location.CO050043_zip
292,PROGRESO NO.2,l10n_co_base_location.CO050043_zip
293,SAN MARTÍN DE PORRES,l10n_co_base_location.CO050043_zip
294,BOYACÁ,l10n_co_base_location.CO050044_zip
295,FLORENCIA,l10n_co_base_location.CO050044_zip
296,HÉCTOR ABAD GÓMEZ,l10n_co_base_location.CO050044_zip
297,LAS BRISAS,l10n_co_base_location.CO050044_zip
298,PLAZA DE FERIAS,l10n_co_base_location.CO050044_zip
299,SANTANDER,l10n_co_base_location.CO050044_zip
300,TEJELO,l10n_co_base_location.CO050044_zip
301,TOSCANA,l10n_co_base_location.CO050044_zip
302,MONTECLARO,l10n_co_base_location.CO050047_zip
303,PAJARITO,l10n_co_base_location.CO050047_zip
304,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO050048_zip
305,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051010_zip
306,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051017_zip
307,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051020_zip
308,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051027_zip
309,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO051028_zip
310,AURELIO MEJÍA,l10n_co_base_location.CO051030_zip
311,CENTRO,l10n_co_base_location.CO051030_zip
312,EL LLANO,l10n_co_base_location.CO051030_zip
313,EL PARAÍSO,l10n_co_base_location.CO051030_zip
314,GIRARDOTA NUEVA,l10n_co_base_location.CO051030_zip
315,GUADALES,l10n_co_base_location.CO051030_zip
316,GUAYACANES,l10n_co_base_location.CO051030_zip
317,HATO GRANDE,l10n_co_base_location.CO051030_zip
318,JUAN 23,l10n_co_base_location.CO051030_zip
319,LA CEIBA,l10n_co_base_location.CO051030_zip
320,LA FERREIRA,l10n_co_base_location.CO051030_zip
321,LA FLORIDA,l10n_co_base_location.CO051030_zip
322,MONTECARLO,l10n_co_base_location.CO051030_zip
323,NARANJAL,l10n_co_base_location.CO051030_zip
324,NUEVO HORIZONTE,l10n_co_base_location.CO051030_zip
325,PALMAS DEL LLANO,l10n_co_base_location.CO051030_zip
326,SALADO,l10n_co_base_location.CO051030_zip
327,SAN JOSÉ,l10n_co_base_location.CO051030_zip
328,SANTA ANA,l10n_co_base_location.CO051030_zip
329,EL SOCORRO,l10n_co_base_location.CO051037_zip
330,EL TIGRE,l10n_co_base_location.CO051037_zip
